id,title,severity,status,date,reported_by,description
1,Phishing Email to Executive Team,High,Open,2024-01-15,admin@company.com,Suspicious email targeting CEO with malicious attachment
2,Malware Detected on Workstation,Medium,Investigating,2024-01-16,tech@company.com,Trojan detected on employee workstation
3,DDoS Attack on Web Server,Critical,Resolved,2024-01-17,security@company.com,Distributed Denial of Service attack lasting 2 hours
4,Unauthorized Database Access,High,Open,2024-01-18,dbadmin@company.com,Unknown user accessed customer database
5,Ransomware Encrypted Files,Critical,Investigating,2024-01-19,sysadmin@company.com,Multiple shared drives encrypted with .lockbit extension
6,Social Engineering Attempt,Medium,Closed,2024-01-20,hr@company.com,Caller impersonating IT staff requesting passwords
7,Data Exfiltration Detected,High,Investigating,2024-01-21,security@company.com,Large volume of data transferred to external IP
8,Brute Force Attack on VPN,High,Open,2024-01-22,network@company.com,Multiple failed login attempts from Russian IPs
9,SQL Injection Attempt,Medium,Resolved,2024-01-23,webadmin@company.com,Injection attack on login form blocked by WAF
10,Insider Threat Alert,High,Investigating,2024-01-24,security@company.com,Employee accessing files outside normal hours
11,Supply Chain Attack,Medium,Open,2024-01-25,procurement@company.com,Compromised software update from vendor
12,Credential Stuffing Attack,High,Investigating,2024-01-26,security@company.com,Use of previously breached credentials
13,Zero-Day Exploit Attempt,Critical,Open,2024-01-27,research@company.com,Exploit targeting unpatched vulnerability
14,Cloud Misconfiguration,Medium,Resolved,2024-01-28,cloudops@company.com,S3 bucket left publicly accessible
15,Endpoint Detection Bypass,High,Investigating,2024-01-29,security@company.com,Malware bypassing antivirus detection
16,IoT Device Compromise,Medium,Open,2024-01-30,iotadmin@company.com,Smart thermostat communicating with C2 server
17,API Security Breach,High,Investigating,2024-01-31,devops@company.com,Exposed API keys in GitHub repository
18,Physical Security Breach,Medium,Resolved,2024-02-01,security@company.com,Unauthorized access to server room
19,Mobile Device Theft,High,Open,2024-02-02,hr@company.com,Company smartphone stolen with corporate data
20,Wireless Network Eavesdropping,Medium,Investigating,2024-02-03,network@company.com,Rogue access point detected in building
21,Email Account Compromise,High,Open,2024-02-04,it@company.com,Executive email account sending spam
22,File Integrity Alert,Medium,Investigating,2024-02-05,security@company.com,System files modified without authorization
23,Privilege Escalation Attempt,High,Open,2024-02-06,sysadmin@company.com,User attempting to gain admin rights
24,Cryptojacking Detection,Medium,Resolved,2024-02-07,security@company.com,Unauthorized cryptocurrency mining
25,Watering Hole Attack,High,Investigating,2024-02-08,webadmin@company.com,Compromised website frequently visited by employees
26,Man-in-the-Middle Attack,Medium,Open,2024-02-09,network@company.com,Intercepted communications on public WiFi
27,Session Hijacking,High,Investigating,2024-02-10,security@company.com,Stolen session tokens being used
28,Cross-Site Scripting (XSS),Medium,Resolved,2024-02-11,dev@company.com,XSS vulnerability in web application
